IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.134.74,443,0,TRUE,FRA,Europe,Frankfurt,263,2.57
46.149.75.77,443,0,TRUE,AMS,Europe,Amsterdam,206,2.13
34.118.20.158,443,0,TRUE,FRA,Europe,Frankfurt,249,1.7
77.238.252.70,443,0,TRUE,AMS,Europe,Amsterdam,215,1.68
34.141.5.112,443,443,TRUE,FRA,Europe,Frankfurt,189,1.39
194.87.179.43,443,0,TRUE,HEL,Europe,Helsinki,222,1.35
139.59.206.9,443,0,TRUE,FRA,Europe,Frankfurt,424,1.17
38.180.30.217,443,0,TRUE,LHR,Europe,London,212,1.09
146.70.175.105,443,443,TRUE,AMS,Europe,Amsterdam,188,0.97
146.70.175.101,443,443,TRUE,AMS,Europe,Amsterdam,181,0.92
13.208.164.103,443,443,TRUE,KIX,Asia Pacific,Osaka,99,0.88
34.82.76.253,443,443,TRUE,SEA,North America,Seattle,191,0.82
34.107.122.187,443,0,TRUE,FRA,Europe,Frankfurt,225,0.75
139.162.157.23,443,443,TRUE,FRA,Europe,Frankfurt,169,0.66
152.70.164.231,443,0,TRUE,FRA,Europe,Frankfurt,251,0.65
138.197.189.110,443,0,TRUE,FRA,Europe,Frankfurt,210,0.62
144.24.184.49,443,0,TRUE,FRA,Europe,Frankfurt,242,0.59
34.154.150.141,443,0,TRUE,FRA,Europe,Frankfurt,229,0.53
34.116.151.91,443,0,TRUE,FRA,Europe,Frankfurt,289,0.5
192.248.191.220,443,0,TRUE,FRA,Europe,Frankfurt,253,0.48
94.177.8.54,443,0,TRUE,VIE,Europe,Vienna,225,0.42
13.53.206.75,443,0,TRUE,OSL,Europe,Oslo,225,0.41
18.184.27.249,443,0,TRUE,FRA,Europe,Frankfurt,208,0.36
212.113.106.225,443,0,TRUE,AMS,Europe,Amsterdam,277,0.36
185.125.200.250,443,0,TRUE,AMS,Europe,Amsterdam,217,0.32
107.182.131.182,443,0,TRUE,HEL,Europe,Helsinki,241,0.31
34.65.201.127,443,443,TRUE,FRA,Europe,Frankfurt,195,0.27
84.8.147.147,443,443,TRUE,FRA,Europe,Frankfurt,246,0.24
34.154.245.223,443,0,TRUE,FRA,Europe,Frankfurt,230,0.19
18.156.30.219,443,0,TRUE,FRA,Europe,Frankfurt,211,0.17
193.122.197.111,443,0,TRUE,IAD,North America,Ashburn,240,0.16
109.71.244.20,443,0,TRUE,AMS,Europe,Amsterdam,209,0.15
152.67.233.64,443,0,TRUE,SJC,North America,San Jose,194,0.14
51.107.18.139,443,0,TRUE,MXP,Europe,Milan,227,0.12
185.200.190.99,443,0,TRUE,FRA,Europe,Frankfurt,184,0.12
